k_time,flow_id,source_sensor,path_to_car,rate_mbps
0,0,"(1, 1)","[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5)] -> Car-0",5
0,3,"(1, 2)","[(1, 2), (1, 3), (1, 4), (1, 5)] -> Car-0",5
0,6,"(1, 3)","[(1, 3), (2, 3), (2, 4), (2, 5)] -> Car-0",5
0,9,"(1, 4)","[(1, 4), (2, 4), (2, 5)] -> Car-0",5
0,12,"(1, 5)","[(1, 5)] -> Car-0",5
0,15,"(1, 6)","[(1, 6)] -> Car-0",5
0,18,"(1, 7)","[(1, 7), (1, 6)] -> Car-0",5
0,21,"(1, 8)","[(1, 8), (1, 7), (1, 6)] -> Car-0",5
0,24,"(1, 9)","[(1, 9), (2, 9), (2, 8), (2, 7), (2, 6)] -> Car-0",5
0,27,"(1, 10)","[(1, 10), (2, 10), (2, 9), (2, 8), (2, 7), (2, 6)] -> Car-0",5
0,30,"(1, 11)","[(1, 11), (1, 12), (1, 13), (1, 14), (1, 15)] -> Car-1",5
0,33,"(1, 12)","[(1, 12), (1, 13), (1, 14), (1, 15)] -> Car-1",5
0,36,"(1, 13)","[(1, 13), (2, 13), (2, 14), (2, 15)] -> Car-1",5
0,39,"(1, 14)","[(1, 14), (2, 14), (2, 15)] -> Car-1",5
0,42,"(1, 15)","[(1, 15)] -> Car-1",5
0,45,"(1, 16)","[(1, 16)] -> Car-1",5
0,48,"(1, 17)","[(1, 17), (1, 16)] -> Car-1",5
0,51,"(1, 18)","[(1, 18), (1, 17), (1, 16)] -> Car-1",5
0,54,"(1, 19)","[(1, 19), (2, 19), (2, 18), (2, 17), (2, 16)] -> Car-1",5
0,57,"(1, 20)","[(1, 20), (2, 20), (2, 19), (2, 18), (2, 17), (2, 16)] -> Car-1",5
0,60,"(1, 21)","[(1, 21), (1, 22), (1, 23), (1, 24), (1, 25)] -> Car-2",5
0,63,"(1, 22)","[(1, 22), (1, 23), (1, 24), (1, 25)] -> Car-2",5
0,66,"(1, 23)","[(1, 23), (2, 23), (2, 24), (2, 25)] -> Car-2",5
0,69,"(1, 24)","[(1, 24), (2, 24), (2, 25)] -> Car-2",5
0,72,"(1, 25)","[(1, 25)] -> Car-2",5
0,75,"(1, 26)","[(1, 26), (1, 25)] -> Car-2",5
0,78,"(1, 27)","[(1, 27), (1, 26), (1, 25)] -> Car-2",5
0,81,"(1, 28)","[(1, 28), (2, 28), (2, 27), (2, 26), (2, 25)] -> Car-2",5
0,84,"(1, 29)","[(1, 29), (2, 29), (2, 28), (2, 27), (2, 26), (2, 25)] -> Car-2",5
0,87,"(1, 30)","[(1, 30), (2, 30), (3, 30), (3, 29), (3, 28), (3, 27), (3, 26)] -> Car-2",5
0,90,"(2, 1)","[(2, 1), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5)] -> Car-0",5
0,93,"(2, 2)","[(2, 2), (3, 2), (3, 3), (3, 4), (3, 5)] -> Car-0",5
0,102,"(2, 5)","[(2, 5)] -> Car-0",5
0,105,"(2, 6)","[(2, 6)] -> Car-0",5
0,108,"(2, 7)","[(2, 7), (3, 7), (3, 6)] -> Car-0",5
0,111,"(2, 8)","[(2, 8), (3, 8), (3, 7), (3, 6)] -> Car-0",5
0,120,"(2, 11)","[(2, 11), (3, 11), (3, 12), (3, 13), (3, 14), (3, 15)] -> Car-1",5
0,123,"(2, 12)","[(2, 12), (3, 12), (3, 13), (3, 14), (3, 15)] -> Car-1",5
0,132,"(2, 15)","[(2, 15)] -> Car-1",5
0,135,"(2, 16)","[(2, 16)] -> Car-1",5
0,138,"(2, 17)","[(2, 17), (3, 17), (3, 16)] -> Car-1",5
0,141,"(2, 18)","[(2, 18), (3, 18), (3, 17), (3, 16)] -> Car-1",5
0,150,"(2, 21)","[(2, 21), (3, 21), (3, 22), (3, 23), (3, 24), (3, 25)] -> Car-2",3.392842655645539
0,153,"(2, 22)","[(2, 22), (3, 22), (3, 23), (3, 24), (3, 25), (3, 26)] -> Car-2",5
0,156,"(2, 23)","[(2, 23), (3, 23), (3, 24), (3, 25)] -> Car-2",1.6071573443544604
0,162,"(2, 25)","[(2, 25)] -> Car-2",5
0,165,"(2, 26)","[(2, 26), (3, 26)] -> Car-2",5
0,168,"(2, 27)","[(2, 27), (3, 27), (3, 26)] -> Car-2",5
0,171,"(2, 28)","[(2, 28), (1, 28), (1, 27), (1, 26)] -> Car-2",3.4269777987050603
0,174,"(2, 29)","[(2, 29), (1, 29), (1, 28), (1, 27), (1, 26)] -> Car-2",1.5730222012949397
0,192,"(3, 5)","[(3, 5)] -> Car-0",5
0,195,"(3, 6)","[(3, 6)] -> Car-0",5
0,222,"(3, 15)","[(3, 15)] -> Car-1",5
0,225,"(3, 16)","[(3, 16)] -> Car-1",5
0,252,"(3, 25)","[(3, 25), (2, 25)] -> Car-2",5
0,255,"(3, 26)","[(3, 26)] -> Car-2",5
0,282,"(4, 5)","[(4, 5), (3, 5)] -> Car-0",5
0,285,"(4, 6)","[(4, 6), (3, 6)] -> Car-0",5
0,312,"(4, 15)","[(4, 15), (3, 15)] -> Car-1",5
0,315,"(4, 16)","[(4, 16), (3, 16)] -> Car-1",5
0,342,"(4, 25)","[(4, 25), (3, 25), (2, 25)] -> Car-2",5
0,345,"(4, 26)","[(4, 26), (3, 26)] -> Car-2",5
1,0,"(1, 1)","[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5)] -> Car-0",5
1,3,"(1, 2)","[(1, 2), (1, 3), (1, 4), (1, 5)] -> Car-0",5
1,6,"(1, 3)","[(1, 3), (2, 3), (2, 4), (2, 5)] -> Car-0",5
1,9,"(1, 4)","[(1, 4), (2, 4), (2, 5)] -> Car-0",5
1,12,"(1, 5)","[(1, 5)] -> Car-0",5
1,15,"(1, 6)","[(1, 6), (1, 5)] -> Car-0",5
1,18,"(1, 7)","[(1, 7), (1, 6), (1, 5)] -> Car-0",5
1,21,"(1, 8)","[(1, 8), (2, 8), (2, 7), (2, 6)] -> Car-0",5
1,24,"(1, 9)","[(1, 9), (2, 9), (2, 8), (2, 7), (2, 6)] -> Car-0",5
1,27,"(1, 10)","[(1, 10), (1, 11), (1, 12), (1, 13), (1, 14), (1, 15)] -> Car-1",5
1,30,"(1, 11)","[(1, 11), (1, 12), (1, 13), (1, 14), (1, 15)] -> Car-1",5
1,33,"(1, 12)","[(1, 12), (2, 12), (2, 13), (2, 14), (2, 15)] -> Car-1",5
1,36,"(1, 13)","[(1, 13), (2, 13), (2, 14), (2, 15)] -> Car-1",5
